,Mouse,Amplitude,Miniscope,TimeBin,Sleep,Proportion
304,Ca_EEG3-4,0.25mA,Miniscope,8.0,sleep,44.59234608985025
305,Ca_EEG3-4,0.25mA,Miniscope,8.0,wake,55.40765391014975
306,Ca_EEG3-4,0.25mA,Miniscope,9.0,sleep,66.88851913477538
307,Ca_EEG3-4,0.25mA,Miniscope,9.0,wake,33.11148086522462
308,Ca_EEG3-4,0.25mA,Miniscope,10.0,sleep,74.87520798668886
309,Ca_EEG3-4,0.25mA,Miniscope,10.0,wake,25.124792013311147
310,Ca_EEG3-4,0.25mA,Miniscope,11.0,sleep,44.75873544093178
311,Ca_EEG3-4,0.25mA,Miniscope,11.0,wake,55.24126455906821
312,Ca_EEG3-4,0.25mA,Miniscope,12.0,sleep,2.995008319467554
313,Ca_EEG3-4,0.25mA,Miniscope,12.0,wake,97.00499168053244
314,Ca_EEG3-4,0.25mA,Miniscope,13.0,sleep,40.765391014975044
315,Ca_EEG3-4,0.25mA,Miniscope,13.0,wake,59.23460898502496
316,Ca_EEG3-4,0.25mA,Miniscope,14.0,sleep,0.0
317,Ca_EEG3-4,0.25mA,Miniscope,14.0,wake,100.0
318,Ca_EEG3-4,0.25mA,Miniscope,15.0,sleep,9.484193011647255
319,Ca_EEG3-4,0.25mA,Miniscope,15.0,wake,90.51580698835274
320,Ca_EEG3-4,0.25mA,Miniscope,16.0,sleep,23.46089850249584
321,Ca_EEG3-4,0.25mA,Miniscope,16.0,wake,76.53910149750416
322,Ca_EEG3-4,0.25mA,Miniscope,17.0,sleep,1.9966722129783696
323,Ca_EEG3-4,0.25mA,Miniscope,17.0,wake,98.00332778702163
324,Ca_EEG3-4,0.25mA,Miniscope,18.0,sleep,56.89655172413793
325,Ca_EEG3-4,0.25mA,Miniscope,18.0,wake,43.103448275862064
326,Ca_EEG3-4,0.25mA,Miniscope,19.0,sleep,58.402662229617306
327,Ca_EEG3-4,0.25mA,Miniscope,19.0,wake,41.597337770382694
328,Ca_EEG3-4,0.25mA,Miniscope,20.0,sleep,34.442595673876866
329,Ca_EEG3-4,0.25mA,Miniscope,20.0,wake,65.55740432612312
330,Ca_EEG3-4,0.25mA,Miniscope,21.0,sleep,78.03660565723793
331,Ca_EEG3-4,0.25mA,Miniscope,21.0,wake,21.96339434276206
