,Mouse,Amplitude,Day,TimeBin,SleepState,StateLength
sws,Ca_EEG3-1,0.25mA,PostAversive,3.0,nrem,33.512195121951216
rem,Ca_EEG_Pilot2,1.5mA,PostNeutral,3.0,rem,23.4
sws,Ca_EEG3-4,0.25mA,PostNeutral,3.0,nrem,29.164556962025316
rem,Ca_EEG3-1,0.25mA,PostAversive,3.0,rem,10.8
sws,Ca_EEG2-3,1.5mA,PostAversive,3.0,nrem,58.28571428571428
rem,Ca_EEG_Pilot1,1.5mA,PostNeutral,3.0,rem,11.2
wake,Ca_EEG_Pilot1,1.5mA,PostNeutral,3.0,wake,48.666666666666664
rem,Ca_EEG_Pilot1,1.5mA,PreNeutral,3.0,rem,15.2
sws,Ca_EEG_Pilot1,1.5mA,PreNeutral,3.0,nrem,47.89090909090909
sws,Ca_EEG3-2,0.25mA,PreNeutral,3.0,nrem,42.610169491525426
rem,Ca_EEG3-2,0.25mA,PreNeutral,3.0,rem,16.333333333333336
sws,Ca_EEG3-2,0.25mA,PostNeutral,3.0,nrem,80.8695652173913
wake,Ca_EEG_Pilot1,1.5mA,PreNeutral,3.0,wake,17.16279069767442
wake,Ca_EEG3-4,0.25mA,PostAversive,3.0,wake,11.357142857142858
sws,Ca_EEG_Pilot1,1.5mA,PostNeutral,3.0,nrem,60.51428571428571
rem,Ca_EEG2-3,1.5mA,PostAversive,3.0,rem,16.09090909090909
rem,Ca_EEG_Pilot2,1.5mA,PostNeutral,4.0,rem,15.310344827586208
rem,Ca_EEG3-1,0.25mA,PreNeutral,4.0,rem,15.09090909090909
rem,Ca_EEG3-2,0.25mA,PostAversive,4.0,rem,19.263157894736842
sws,Ca_EEG3-2,0.25mA,PostAversive,4.0,nrem,59.0
wake,Ca_EEG3-2,0.25mA,PostAversive,4.0,wake,29.076923076923073
rem,Ca_EEG_Pilot1,1.5mA,PostNeutral,4.0,rem,14.181818181818183
rem,Ca_EEG2-2,1.5mA,PostAversive,4.0,rem,11.793103448275861
sws,Ca_EEG3-1,0.25mA,PreNeutral,4.0,nrem,30.75
wake,Ca_EEG3-1,0.25mA,PreNeutral,4.0,wake,12.346153846153845
sws,Ca_EEG3-2,0.25mA,PostNeutral,4.0,nrem,47.88235294117647
wake,Ca_EEG_Pilot1,1.5mA,PostNeutral,4.0,wake,32.199999999999996
rem,Ca_EEG3-1,0.25mA,PostNeutral,4.0,rem,9.200000000000001
wake,Ca_EEG2-1,1.5mA,PreNeutral,4.0,wake,372.0
sws,Ca_EEG2-1,1.5mA,PreNeutral,4.0,nrem,38.0
rem,Ca_EEG2-1,1.5mA,PreNeutral,4.0,rem,6.75
wake,Ca_EEG2-2,1.5mA,PreNeutral,4.0,wake,29.05263157894737
