,Mouse,Amplitude,TimeBin,Motion
412,RLI6-9,1.5mA,19,2.403766169401585
413,RLI6-10,0.25mA,19,3.142566281160944
414,RLI6-11,1.5mA,19,0.7186957490531182
415,RLI6-12,0.25mA,19,3.280134613071496
416,RLI8-3,1.5mA,19,1.780442986557379
417,RLI8-6,1.5mA,19,0.6827203871444165
418,RLI5-1,0.25mA,20,0.8491764004175895
419,RLI5-2,1.5mA,20,2.409132352702071
420,RLI5-3,0.25mA,20,1.9757464244419705
421,RLI5-4,1.5mA,20,2.7490387884066125
422,RLI5-5,0.25mA,20,1.450306660510512
423,RLI5-6,1.5mA,20,2.1815944025230154
424,RLI5-7,0.25mA,20,1.9038192272595331
425,RLI5-8,1.5mA,20,1.5597357460518766
426,RLI5-9,0.25mA,20,2.1977049733367076
427,RLI5-10,1.5mA,20,2.0175484899515115
428,RLI6-1,0.25mA,20,2.508361476205972
429,RLI6-2,1.5mA,20,2.275676156610563
430,RLI6-3,0.25mA,20,1.8484504981231749
431,RLI6-4,1.5mA,20,1.1792477193458006
432,RLI6-6,1.5mA,20,0.9227364092217516
433,RLI6-8,0.25mA,20,2.904927407741282
434,RLI6-9,1.5mA,20,2.2946890401092235
435,RLI6-10,0.25mA,20,3.0472402307447215
436,RLI6-11,1.5mA,20,2.13084384493799
437,RLI6-12,0.25mA,20,2.7514392144531796
438,RLI8-3,1.5mA,20,2.200946456311272
439,RLI8-6,1.5mA,20,0.8820329114829005
440,RLI5-1,0.25mA,21,1.8476222156701676
441,RLI5-2,1.5mA,21,2.5057328073642777
442,RLI5-3,0.25mA,21,2.0837248661848164
443,RLI5-4,1.5mA,21,2.8780258575587734
444,RLI5-5,0.25mA,21,1.7921911921639198
445,RLI5-6,1.5mA,21,1.272329568249887
446,RLI5-7,0.25mA,21,2.0957848117498745
447,RLI5-8,1.5mA,21,1.0726208431311244
448,RLI5-9,0.25mA,21,1.5882767653777627
449,RLI5-10,1.5mA,21,2.009142598805909
450,RLI6-1,0.25mA,21,2.321002760305117
451,RLI6-2,1.5mA,21,2.686136512903457
452,RLI6-3,0.25mA,21,2.060530814886917
453,RLI6-4,1.5mA,21,1.6908968229103005
454,RLI6-6,1.5mA,21,1.2624220629177814
455,RLI6-8,0.25mA,21,2.374850855073319
456,RLI6-9,1.5mA,21,2.2271102845311836
457,RLI6-10,0.25mA,21,3.0611323951806364
458,RLI6-11,1.5mA,21,0.8467083726865615
459,RLI6-12,0.25mA,21,3.4914820437890266
460,RLI8-3,1.5mA,21,1.69602736545495
461,RLI8-6,1.5mA,21,2.0324105071270746
462,RLI5-1,0.25mA,22,1.423016285374811
463,RLI5-2,1.5mA,22,2.342534643806384
464,RLI5-3,0.25mA,22,1.191078186365359
465,RLI5-4,1.5mA,22,1.7408547283820819
466,RLI5-5,0.25mA,22,0.8803825485834372
467,RLI5-6,1.5mA,22,0.8470093316282763
468,RLI5-7,0.25mA,22,2.585722155528039
469,RLI5-8,1.5mA,22,0.7234630116806399
470,RLI5-9,0.25mA,22,1.4319543908907497
471,RLI5-10,1.5mA,22,2.2480971328521604
472,RLI6-1,0.25mA,22,2.077981460844053
473,RLI6-2,1.5mA,22,2.5390277467223985
474,RLI6-3,0.25mA,22,1.4509818870476852
475,RLI6-4,1.5mA,22,2.30445455379457
476,RLI6-6,1.5mA,22,1.4456185510564277
477,RLI6-8,0.25mA,22,2.2456133426657385
478,RLI6-9,1.5mA,22,2.8784636880618923
479,RLI6-10,0.25mA,22,2.5160539306837704
480,RLI6-11,1.5mA,22,0.9919885208405409
481,RLI6-12,0.25mA,22,2.888542796088917
482,RLI8-3,1.5mA,22,1.6753734796596131
483,RLI8-6,1.5mA,22,1.6127358050661964
484,RLI5-1,0.25mA,23,0.7294489474348321
485,RLI5-2,1.5mA,23,2.1543347595839033
486,RLI5-3,0.25mA,23,1.1796153418851472
487,RLI5-4,1.5mA,23,2.1023899796699737
488,RLI5-5,0.25mA,23,0.8515120163004516
489,RLI5-6,1.5mA,23,1.5738727903770917
490,RLI5-7,0.25mA,23,3.209173992795014
491,RLI5-8,1.5mA,23,0.627079054354764
492,RLI5-9,0.25mA,23,0.7570113667157157
493,RLI5-10,1.5mA,23,1.3293706792225082
494,RLI6-1,0.25mA,23,1.8792546842625462
495,RLI6-2,1.5mA,23,2.149365746810263
496,RLI6-3,0.25mA,23,1.6903867778826516
497,RLI6-4,1.5mA,23,2.4757742291763187
498,RLI6-6,1.5mA,23,1.0671102738379679
499,RLI6-8,0.25mA,23,2.8728440927741845
500,RLI6-9,1.5mA,23,2.518942778707521
501,RLI6-10,0.25mA,23,2.668292098341737
502,RLI6-11,1.5mA,23,1.8173880883065228
503,RLI6-12,0.25mA,23,2.921216884939243
504,RLI8-3,1.5mA,23,1.9572190068151596
505,RLI8-6,1.5mA,23,1.5584599549285203
506,RLI5-1,0.25mA,24,0.5827146382875542
507,RLI5-2,1.5mA,24,1.788815679065951
508,RLI5-3,0.25mA,24,1.6905801928596118
509,RLI5-4,1.5mA,24,1.8900659507402222
510,RLI5-5,0.25mA,24,1.3238915633556447
511,RLI5-6,1.5mA,24,0.5056309616930061
512,RLI5-7,0.25mA,24,2.881101494227007
513,RLI5-8,1.5mA,24,0.746924483610749
514,RLI5-9,0.25mA,24,0.37747051877396814
515,RLI5-10,1.5mA,24,2.0549656519311874
516,RLI6-1,0.25mA,24,1.5818214633652665
517,RLI6-2,1.5mA,24,2.4579746023998807
518,RLI6-3,0.25mA,24,1.1372568171541666
519,RLI6-4,1.5mA,24,2.442802204805685
520,RLI6-6,1.5mA,24,0.6200973869122381
521,RLI6-8,0.25mA,24,2.4687219983481947
