,Mouse,Amplitude,BehavioralState,Ensemble,FiringRate,CellIndex
7305,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.0003024746277644209,3919.0
7306,RLI9-6,1.5mA,Quiet Rest,Fear,-0.035688427012452395,3920.0
7307,RLI9-6,1.5mA,Quiet Rest,Fear,0.21921949245043912,3921.0
7308,RLI9-6,1.5mA,Quiet Rest,Fear,0.042025450970786256,3922.0
7309,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.04440041164592601,3923.0
7310,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.03218560668505205,3924.0
7311,RLI9-6,1.5mA,Quiet Rest,Fear,-0.06336611568609965,3925.0
7312,RLI9-6,1.5mA,Quiet Rest,Remaining,0.1574969624486676,3926.0
7313,RLI9-6,1.5mA,Quiet Rest,Fear,-0.04541620840592679,3927.0
7314,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.05987614123780781,3928.0
7315,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.008433912996929006,3929.0
7316,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.054651552788165345,3930.0
7317,RLI9-6,1.5mA,Quiet Rest,Fear,0.027872558570055803,3931.0
7318,RLI9-6,1.5mA,Quiet Rest,Fear,-0.012173569275850376,3932.0
7319,RLI9-6,1.5mA,Quiet Rest,Fear,0.07108682462301197,3933.0
7320,RLI9-6,1.5mA,Quiet Rest,Remaining,0.13165000934376997,3934.0
7321,RLI9-6,1.5mA,Quiet Rest,Remaining,0.05757978718546278,3935.0
7322,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.02437743593735565,3936.0
7323,RLI9-6,1.5mA,Quiet Rest,Fear,-0.040036245001938156,3937.0
7324,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.01577493735242958,3938.0
7325,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.05655275968146312,3939.0
7326,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.061730249764274055,3940.0
7327,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.019204062722198347,3941.0
7328,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.020740865797562437,3942.0
7329,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.028614712938366076,3943.0
7330,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.052869448868939635,3944.0
7331,RLI9-6,1.5mA,Quiet Rest,Remaining,0.04510873150839305,3945.0
7332,RLI9-6,1.5mA,Quiet Rest,Fear,-0.029897438775260222,3946.0
7333,RLI9-6,1.5mA,Quiet Rest,Fear,-0.02736041609882347,3947.0
7334,RLI9-6,1.5mA,Quiet Rest,Fear,-0.02201185753041077,3948.0
7335,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.035339671260355025,3949.0
7336,RLI9-6,1.5mA,Quiet Rest,Fear,-0.019285216123234843,3950.0
7337,RLI9-6,1.5mA,Quiet Rest,Fear,-0.00762426945173172,3951.0
7338,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.04065226042939159,3952.0
7339,RLI9-6,1.5mA,Quiet Rest,Fear,0.1703797515702534,3953.0
7340,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.04788343970267052,3954.0
7341,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.028725133819791724,3955.0
7342,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.04902790929051723,3956.0
7343,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.04747378176263663,3957.0
7344,RLI9-6,1.5mA,Quiet Rest,Fear,-0.04974478411864808,3958.0
7345,RLI9-6,1.5mA,Quiet Rest,Fear,-0.04111690144463169,3959.0
7346,RLI9-6,1.5mA,Quiet Rest,Remaining,0.0713929541285405,3960.0
7347,RLI9-6,1.5mA,Quiet Rest,Fear,-0.025227902526034324,3961.0
7348,RLI9-6,1.5mA,Quiet Rest,Fear,-0.027778124189803282,3962.0
7349,RLI9-6,1.5mA,Quiet Rest,Fear,-0.044468459061123594,3963.0
7350,RLI9-6,1.5mA,Quiet Rest,Fear,0.012744728377473705,3964.0
7351,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.007380184309016632,3965.0
7352,RLI9-6,1.5mA,Quiet Rest,Remaining,0.02364827557617298,3966.0
7353,RLI9-6,1.5mA,Quiet Rest,Remaining,0.039220550638042875,3967.0
7354,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.06426469452845,3968.0
7355,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.05654282626931763,3969.0
7356,RLI9-6,1.5mA,Quiet Rest,Fear,0.008940654901721782,3970.0
7357,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.0472382563846311,3971.0
7358,RLI9-6,1.5mA,Quiet Rest,Fear,-0.00793721183751783,3972.0
7359,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.06426469452845,3973.0
7360,RLI9-6,1.5mA,Quiet Rest,Fear,0.6345793450338727,3974.0
7361,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.003963954717627753,3975.0
7362,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.0370121371213061,3976.0
7363,RLI9-6,1.5mA,Quiet Rest,Remaining,0.013342080742162338,3977.0
7364,RLI9-6,1.5mA,Quiet Rest,Fear,0.19108825682645622,3978.0
7365,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.009658800816057921,3979.0
7366,RLI9-6,1.5mA,Quiet Rest,Fear,-0.03847267314187267,3980.0
7367,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.025475254493656854,3981.0
7368,RLI9-6,1.5mA,Quiet Rest,Fear,0.008584637776433486,3982.0
7369,RLI9-6,1.5mA,Quiet Rest,Remaining,0.08605073934619015,3983.0
7370,RLI9-6,1.5mA,Quiet Rest,Fear,0.14976353947095583,3984.0
7371,RLI9-6,1.5mA,Quiet Rest,Fear,0.22052011464143983,3985.0
7372,RLI9-6,1.5mA,Quiet Rest,Fear,-0.06125667187902551,3986.0
7373,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.015136404241364232,3987.0
7374,RLI9-6,1.5mA,Quiet Rest,Fear,0.03424364776159098,3988.0
7375,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.060252481663384976,3989.0
7376,RLI9-6,1.5mA,Quiet Rest,Fear,-0.028209491561439308,3990.0
7377,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.004502749867390544,3991.0
7378,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.03235851106026823,3992.0
7379,RLI9-6,1.5mA,Quiet Rest,Fear,-0.06113755259033299,3993.0
7380,RLI9-6,1.5mA,Quiet Rest,Fear,0.11726288025170659,3994.0
7381,RLI9-6,1.5mA,Quiet Rest,Fear,0.02886372261881774,3995.0
7382,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.02515104966661068,3996.0
7383,RLI9-6,1.5mA,Quiet Rest,Fear,0.013692924023272721,3997.0
7384,RLI9-6,1.5mA,Quiet Rest,Fear,0.02085664107031929,3998.0
7385,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.018508212695752712,3999.0
