,Mouse,Amplitude,TimeBin,Motion
417,RLI9-2,1.5mA,53,2.321879116159342
418,RLI9-3,1.5mA,53,2.3832342591078266
419,RLI9-4,1.5mA,53,0.775333957672533
420,RLI9-5,1.5mA,53,2.179368042049875
421,RLI9-6,1.5mA,53,2.85552555033828
422,RLI9-7,1.5mA,53,3.0018847619446962
423,RLI9-8,1.5mA,53,0.760581686369497
424,RLI9-1,1.5mA,54,2.9789597629300046
425,RLI9-2,1.5mA,54,2.3999779266672547
426,RLI9-3,1.5mA,54,2.2062280421492053
427,RLI9-4,1.5mA,54,0.7611768564449373
428,RLI9-5,1.5mA,54,0.4965062623006144
429,RLI9-6,1.5mA,54,2.6956287668191274
430,RLI9-7,1.5mA,54,2.673176422527174
431,RLI9-8,1.5mA,54,2.1994140214443485
432,RLI9-1,1.5mA,55,2.940055796874338
433,RLI9-2,1.5mA,55,1.6815001363019098
434,RLI9-3,1.5mA,55,2.468377018672113
435,RLI9-4,1.5mA,55,0.877988779089985
436,RLI9-5,1.5mA,55,0.5845020454754174
437,RLI9-6,1.5mA,55,1.6632516258245313
438,RLI9-7,1.5mA,55,2.4266592408670262
439,RLI9-8,1.5mA,55,2.418344397340578
440,RLI9-1,1.5mA,56,1.5809097248403354
441,RLI9-2,1.5mA,56,1.3392771109553943
442,RLI9-3,1.5mA,56,1.9699764475101766
443,RLI9-4,1.5mA,56,1.5161125035959946
444,RLI9-5,1.5mA,56,0.6233262941379664
445,RLI9-6,1.5mA,56,2.632788603391075
446,RLI9-7,1.5mA,56,2.665678976617802
447,RLI9-8,1.5mA,56,2.0676485019745794
448,RLI9-1,1.5mA,57,0.6703231648145337
449,RLI9-2,1.5mA,57,0.18621776156977787
450,RLI9-3,1.5mA,57,2.7680926277761397
451,RLI9-4,1.5mA,57,1.5100792728883212
452,RLI9-5,1.5mA,57,0.5728480603892017
453,RLI9-6,1.5mA,57,2.6576202339504356
454,RLI9-7,1.5mA,57,0.6986769428424733
455,RLI9-8,1.5mA,57,2.3753641608991676
456,RLI9-1,1.5mA,58,2.2273145932158815
457,RLI9-2,1.5mA,58,2.1514986751618714
458,RLI9-3,1.5mA,58,2.24682671338077
459,RLI9-4,1.5mA,58,1.6965697149424086
460,RLI9-5,1.5mA,58,0.7617203271231708
461,RLI9-6,1.5mA,58,0.832012825741077
462,RLI9-7,1.5mA,58,2.0699942897646246
463,RLI9-8,1.5mA,58,1.6398234288375928
464,RLI9-1,1.5mA,59,2.748412424282485
465,RLI9-2,1.5mA,59,1.509784397696729
466,RLI9-3,1.5mA,59,0.9072273177302356
467,RLI9-4,1.5mA,59,1.9410748014517931
468,RLI9-5,1.5mA,59,1.2830859479039594
469,RLI9-6,1.5mA,59,2.2849681903242436
470,RLI9-7,1.5mA,59,1.645582051731786
471,RLI9-8,1.5mA,59,1.7557695825956654
472,RLI9-1,1.5mA,60,2.907886838802454
473,RLI9-2,1.5mA,60,0.9932169761867046
474,RLI9-3,1.5mA,60,1.2220738299929643
475,RLI9-4,1.5mA,60,1.6016326444032414
476,RLI9-5,1.5mA,60,0.7197698827792692
477,RLI9-6,1.5mA,60,2.9317428154381684
478,RLI9-7,1.5mA,60,2.2819948755480115
479,RLI9-8,1.5mA,60,1.854757582516751
