,Mouse,CutoffFraction,Ensemble,FractionOfEnsembleCells
3,RLI12-3,36,Remaining,0.28331332533013204
0,RLI12-3,38,Aversive,0.416
1,RLI12-3,38,Overlap,0.5531135531135531
2,RLI12-3,38,Neutral,0.3739495798319328
3,RLI12-3,38,Remaining,0.31932773109243695
0,RLI12-3,40,Aversive,0.416
1,RLI12-3,40,Overlap,0.5531135531135531
2,RLI12-3,40,Neutral,0.3739495798319328
3,RLI12-3,40,Remaining,0.35414165666266506
0,RLI12-3,42,Aversive,0.416
1,RLI12-3,42,Overlap,0.5531135531135531
2,RLI12-3,42,Neutral,0.3739495798319328
3,RLI12-3,42,Remaining,0.38895558223289317
0,RLI12-3,44,Aversive,0.416
1,RLI12-3,44,Overlap,0.5531135531135531
2,RLI12-3,44,Neutral,0.3739495798319328
3,RLI12-3,44,Remaining,0.4249699879951981
0,RLI12-3,46,Aversive,0.416
1,RLI12-3,46,Overlap,0.5531135531135531
2,RLI12-3,46,Neutral,0.3739495798319328
3,RLI12-3,46,Remaining,0.4597839135654262
0,RLI12-3,48,Aversive,0.416
1,RLI12-3,48,Overlap,0.5531135531135531
2,RLI12-3,48,Neutral,0.3739495798319328
3,RLI12-3,48,Remaining,0.4957983193277311
0,RLI12-3,50,Aversive,0.416
1,RLI12-3,50,Overlap,0.5531135531135531
2,RLI12-3,50,Neutral,0.3739495798319328
3,RLI12-3,50,Remaining,0.5306122448979592
0,RLI12-3,52,Aversive,0.416
1,RLI12-3,52,Overlap,0.5531135531135531
2,RLI12-3,52,Neutral,0.3739495798319328
3,RLI12-3,52,Remaining,0.5654261704681873
0,RLI12-3,54,Aversive,0.416
1,RLI12-3,54,Overlap,0.5531135531135531
2,RLI12-3,54,Neutral,0.3739495798319328
3,RLI12-3,54,Remaining,0.6014405762304922
0,RLI12-3,56,Aversive,0.416
1,RLI12-3,56,Overlap,0.5531135531135531
2,RLI12-3,56,Neutral,0.3739495798319328
3,RLI12-3,56,Remaining,0.6362545018007203
0,RLI12-3,58,Aversive,0.416
1,RLI12-3,58,Overlap,0.5531135531135531
2,RLI12-3,58,Neutral,0.3739495798319328
3,RLI12-3,58,Remaining,0.6722689075630253
0,RLI12-3,60,Aversive,0.416
1,RLI12-3,60,Overlap,0.5531135531135531
2,RLI12-3,60,Neutral,0.3739495798319328
3,RLI12-3,60,Remaining,0.7070828331332533
0,RLI12-3,62,Aversive,0.416
1,RLI12-3,62,Overlap,0.5531135531135531
2,RLI12-3,62,Neutral,0.3739495798319328
3,RLI12-3,62,Remaining,0.7418967587034814
