,Mouse,CutoffFraction,Ensemble,FractionOfGadCells
0,RLI12-2,58,Aversive,0.04470588235294118
1,RLI12-2,58,Overlap,0.16941176470588235
2,RLI12-2,58,Neutral,0.03294117647058824
3,RLI12-2,58,Remaining,0.7529411764705882
0,RLI12-2,60,Aversive,0.04318181818181818
1,RLI12-2,60,Overlap,0.1806818181818182
2,RLI12-2,60,Neutral,0.031818181818181815
3,RLI12-2,60,Remaining,0.7443181818181818
0,RLI12-2,62,Aversive,0.041804180418041806
1,RLI12-2,62,Overlap,0.2068206820682068
2,RLI12-2,62,Neutral,0.030803080308030802
3,RLI12-2,62,Remaining,0.7205720572057206
0,RLI12-2,64,Aversive,0.04051172707889126
1,RLI12-2,64,Overlap,0.23134328358208955
2,RLI12-2,64,Neutral,0.029850746268656716
3,RLI12-2,64,Remaining,0.6982942430703625
0,RLI12-2,66,Aversive,0.03925619834710744
1,RLI12-2,66,Overlap,0.2262396694214876
2,RLI12-2,66,Neutral,0.05785123966942149
3,RLI12-2,66,Remaining,0.6766528925619835
0,RLI12-2,68,Aversive,0.03811434302908726
1,RLI12-2,68,Overlap,0.238716148445336
2,RLI12-2,68,Neutral,0.06619859578736209
3,RLI12-2,68,Remaining,0.6569709127382146
0,RLI12-2,70,Aversive,0.04678362573099415
1,RLI12-2,70,Overlap,0.24463937621832357
2,RLI12-2,70,Neutral,0.07017543859649122
3,RLI12-2,70,Remaining,0.6384015594541911
0,RLI12-2,72,Aversive,0.07386363636363637
1,RLI12-2,72,Overlap,0.23768939393939395
2,RLI12-2,72,Neutral,0.06818181818181818
3,RLI12-2,72,Remaining,0.6202651515151515
0,RLI12-2,74,Aversive,0.09861751152073733
1,RLI12-2,74,Overlap,0.2313364055299539
2,RLI12-2,74,Neutral,0.0663594470046083
3,RLI12-2,74,Remaining,0.6036866359447005
0,RLI12-2,76,Aversive,0.10143626570915619
1,RLI12-2,76,Overlap,0.2459605026929982
2,RLI12-2,76,Neutral,0.06463195691202872
3,RLI12-2,76,Remaining,0.5879712746858169
0,RLI12-2,78,Aversive,0.11188811188811189
1,RLI12-2,78,Overlap,0.2526223776223776
2,RLI12-2,78,Neutral,0.06293706293706294
3,RLI12-2,78,Remaining,0.5725524475524476
0,RLI12-2,80,Aversive,0.11082693947144075
1,RLI12-2,80,Overlap,0.2617220801364024
2,RLI12-2,80,Neutral,0.06308610400682012
3,RLI12-2,80,Remaining,0.5643648763853367
0,RLI12-2,82,Aversive,0.10815307820299501
1,RLI12-2,82,Overlap,0.25540765391014975
2,RLI12-2,82,Neutral,0.06156405990016639
3,RLI12-2,82,Remaining,0.5748752079866889
0,RLI12-2,84,Aversive,0.10551948051948051
1,RLI12-2,84,Overlap,0.24918831168831168
2,RLI12-2,84,Neutral,0.060064935064935064
3,RLI12-2,84,Remaining,0.5852272727272727
0,RLI12-2,86,Aversive,0.10309278350515463
1,RLI12-2,86,Overlap,0.24345757335448057
2,RLI12-2,86,Neutral,0.05868358445678033
3,RLI12-2,86,Remaining,0.5947660586835845
0,RLI12-2,88,Aversive,0.10077519379844961
1,RLI12-2,88,Overlap,0.237984496124031
